company,H1,H2,H3,H4,H5,2023,2022,2021,2020,2019
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,Bilanzdaten,Bilanzsumme,,,,28.16,29.07,28.41,20.97,15.3
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,Bilanzdaten,Bilanzsumme,Anlagevermögen,,,11.83,12.19,11.74,9.8,7.67
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,Bilanzdaten,Bilanzsumme,Anlagevermögen,Sachanlagen,,0.2,0.29,0.44,0.47,0.48
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,Bilanzdaten,Bilanzsumme,Anlagevermögen,Finanzanlagen,,11.4,11.4,10.7,9.0,7.0
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,Bilanzdaten,Bilanzsumme,Umlaufvermögen,,,15.83,16.42,16.33,10.72,7.29
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,Bilanzdaten,Bilanzsumme,Eigenkapital,,,1.81,2.62,1.67,1.08,1.32
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,Bilanzdaten,Bilanzsumme,Eigenkapital,Rücklagen,,,,,,
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,Bilanzdaten,Bilanzsumme,Sonderposten für Zuschüsse,,,0.43,0.79,1.04,0.58,0.67
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,Bilanzdaten,Bilanzsumme,Fremdkapital,,,25.89,25.61,25.64,19.29,13.31
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,Bilanzdaten,Bilanzsumme,Fremdkapital,Rückstellungen,,17.24,15.49,13.4,12.2,10.79
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,,8.65,10.12,12.24,7.09,2.52
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,Kreditverbindlichkeiten,,,,,
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,GuV-Daten,Gesamterträge,,,,44.55,68.33,49.48,41.09,38.71
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,GuV-Daten,Gesamterträge,Umsatzerlöse,,,42.14,66.89,48.46,39.8,37.39
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,GuV-Daten,Gesamterträge,Übrige Erträge,,,2.4,1.44,1.02,1.29,1.31
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,GuV-Daten,Gesamtaufwendungen,,,,45.36,67.37,48.89,41.33,40.93
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,GuV-Daten,Gesamtaufwendungen,Personalaufwand,,,30.85,35.29,30.58,29.69,29.0
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,GuV-Daten,Gesamtaufwendungen,Abschreibungen,,,0.41,0.45,0.35,0.29,0.33
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,GuV-Daten,Gesamtaufwendungen,Zinsaufwand,,,0.21,0.2,0.23,0.24,0.2
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,GuV-Daten,Gesamtaufwendungen,Übrige Aufwendungen,,,13.88,31.43,17.73,11.11,11.4
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,GuV-Daten,EBITDA,,,,-0.64,1.06,1.14,0.26,-1.72
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,GuV-Daten,EBT,,,,-0.81,0.95,0.59,-0.25,-2.23
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,GuV-Daten,Jahresergebnis,,,,-0.81,0.95,0.59,-0.24,-2.23
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,GuV-Daten,Gewinnabführung,,,,,,,,
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,Beschäftigte,Beschäftigte,,,,458.0,577.0,482.0,466.0,434.0
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,Beschäftigte,Beschäftigte,davon Auszubildende,,,2.0,4.0,7.0,9.0,4.0
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,Allgemeine Daten,Zuführungen,,,,41.65,66.55,45.56,38.95,36.72
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,Allgemeine Daten,Zuführungen,Zuführungen Land Berlin,,,21.01,34.9,21.94,21.32,18.61
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,Allgemeine Daten,Investitionen,,,,0.05,0.21,0.55,0.43,0.2
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,Allgemeine Daten,Investitionsquote (%),,,,12.0,26.1,53.2,53.3,29.3
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,Allgemeine Daten,Umsatz pro Vollzeitkraft (T €),,,,92.02,115.92,100.54,85.41,86.15
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,Allgemeine Daten,Eigenkapitalquote (%),,,,6.4,9.0,5.9,5.1,8.6
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,Allgemeine Daten,Eigenkapitalrentabilität (%),,,,-44.7,36.4,35.5,-22.9,-169.2
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,Allgemeine Daten,Umsatzrentabilität (%),,,,-1.9,1.4,1.2,-0.6,-6.0
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,Allgemeine Daten,Zinslastquote (%),,,,0.5,0.3,0.5,0.6,0.5
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,Allgemeine Daten,Personalkostenquote (%),,,,73.2,52.8,63.1,74.6,77.6
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,Spezifische Daten,Dezentrale Bundesstatistiken (Anz.),,,,227.0,232.0,233.0,223.0,214.0
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,Spezifische Daten,Dezentrale Bundesstatistiken (Anz.),darunter mit EU-Rechtsgrundlage (Anz.),,,77.0,82.0,83.0,88.0,84.0
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,Spezifische Daten,Länderstatistiken (Anz.),,,,39.0,39.0,38.0,38.0,38.0
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,Spezifische Daten,Länderstatistiken (Anz.),davon Koordinierte Länderstatistiken (Anz.),,,14.0,14.0,14.0,14.0,14.0
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,Spezifische Daten,Länderstatistiken (Anz.),davon Generelle Länderstatistiken (Anz.),,,21.0,21.0,21.0,21.0,21.0
Amt für Statistik Berlin-Brandenburg Anstalt des öffentlichen Rechts,Spezifische Daten,Länderstatistiken (Anz.),davon Spezielle Länderstatistiken (Anz.),,,4.0,4.0,3.0,3.0,3.0
BBB Infrastruktur GmbH & Co. KG,Bilanzdaten,Bilanzsumme,,,,102.87,97.33,97.93,93.96,92.32
BBB Infrastruktur GmbH & Co. KG,Bilanzdaten,Bilanzsumme,Anlagevermögen,,,89.16,89.55,89.99,90.7,91.02
BBB Infrastruktur GmbH & Co. KG,Bilanzdaten,Bilanzsumme,Anlagevermögen,Sachanlagen,,89.16,89.55,89.99,90.7,91.02
BBB Infrastruktur GmbH & Co. KG,Bilanzdaten,Bilanzsumme,Anlagevermögen,Finanzanlagen,,,,,,
BBB Infrastruktur GmbH & Co. KG,Bilanzdaten,Bilanzsumme,Umlaufvermögen,,,13.71,7.78,7.93,3.26,1.3
BBB Infrastruktur GmbH & Co. KG,Bilanzdaten,Bilanzsumme,Eigenkapital,,,89.62,90.25,91.86,87.65,85.97
BBB Infrastruktur GmbH & Co. KG,Bilanzdaten,Bilanzsumme,Eigenkapital,Rücklagen,,73.25,74.86,71.68,71.68,71.68
BBB Infrastruktur GmbH & Co. KG,Bilanzdaten,Bilanzsumme,Sonderposten für Zuschüsse,,,7.75,1.85,2.28,2.48,2.93
BBB Infrastruktur GmbH & Co. KG,Bilanzdaten,Bilanzsumme,Fremdkapital,,,5.5,5.24,3.79,3.82,3.43
BBB Infrastruktur GmbH & Co. KG,Bilanzdaten,Bilanzsumme,Fremdkapital,Rückstellungen,,4.77,4.59,3.03,2.94,2.97
BBB Infrastruktur GmbH & Co. KG,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,,0.73,0.64,0.75,0.88,0.46
BBB Infrastruktur GmbH & Co. KG,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,Kreditverbindlichkeiten,,,,,
BBB Infrastruktur GmbH & Co. KG,GuV-Daten,Gesamterträge,,,,1.97,2.14,6.68,3.92,2.01
BBB Infrastruktur GmbH & Co. KG,GuV-Daten,Gesamterträge,Umsatzerlöse,,,1.32,1.51,1.52,1.36,1.3
BBB Infrastruktur GmbH & Co. KG,GuV-Daten,Gesamterträge,Übrige Erträge,,,0.66,0.63,5.16,2.56,0.71
BBB Infrastruktur GmbH & Co. KG,GuV-Daten,Gesamtaufwendungen,,,,2.65,3.74,2.32,2.23,4.72
BBB Infrastruktur GmbH & Co. KG,GuV-Daten,Gesamtaufwendungen,Personalaufwand,,,,,,,
BBB Infrastruktur GmbH & Co. KG,GuV-Daten,Gesamtaufwendungen,Abschreibungen,,,0.45,0.46,0.47,0.5,0.62
BBB Infrastruktur GmbH & Co. KG,GuV-Daten,Gesamtaufwendungen,Zinsaufwand,,,,,,,
BBB Infrastruktur GmbH & Co. KG,GuV-Daten,Gesamtaufwendungen,Übrige Aufwendungen,,,2.2,3.28,1.84,1.73,4.1
BBB Infrastruktur GmbH & Co. KG,GuV-Daten,EBITDA,,,,0.58,-0.27,5.55,3.06,-1.22
BBB Infrastruktur GmbH & Co. KG,GuV-Daten,EBT,,,,0.23,-0.73,5.08,2.56,-1.84
BBB Infrastruktur GmbH & Co. KG,GuV-Daten,Jahresergebnis,,,,-0.63,-1.61,4.2,1.69,-2.71
BBB Infrastruktur GmbH & Co. KG,GuV-Daten,Gewinnabführung,,,,,,,,
BBB Infrastruktur GmbH & Co. KG,Beschäftigte,Beschäftigte,,,,,,,,
BBB Infrastruktur GmbH & Co. KG,Beschäftigte,Beschäftigte,davon Auszubildende,,,,,,,
BBB Infrastruktur GmbH & Co. KG,Allgemeine Daten,Zuführungen,,,,0.05,0.19,0.25,0.1,0.03
BBB Infrastruktur GmbH & Co. KG,Allgemeine Daten,Zuführungen,Zuführungen Land Berlin,,,,,0.1,0.07,0.03
BBB Infrastruktur GmbH & Co. KG,Allgemeine Daten,Investitionen,,,,0.06,0.19,0.44,0.18,0.07
BBB Infrastruktur GmbH & Co. KG,Allgemeine Daten,Investitionsquote (%),,,,0.1,0.2,0.5,0.2,0.1
BBB Infrastruktur GmbH & Co. KG,Allgemeine Daten,Umsatz pro Vollzeitkraft (T €),,,,,,,,
BBB Infrastruktur GmbH & Co. KG,Allgemeine Daten,Eigenkapitalquote (%),,,,87.1,92.7,93.8,93.3,93.1
BBB Infrastruktur GmbH & Co. KG,Allgemeine Daten,Eigenkapitalrentabilität (%),,,,0.3,-0.8,5.5,2.9,-2.1
BBB Infrastruktur GmbH & Co. KG,Allgemeine Daten,Umsatzrentabilität (%),,,,17.4,-48.2,333.9,188.3,-141.2
BBB Infrastruktur GmbH & Co. KG,Allgemeine Daten,Zinslastquote (%),,,,,,,,
BBB Infrastruktur GmbH & Co. KG,Allgemeine Daten,Personalkostenquote (%),,,,,,,,
BBB Infrastruktur GmbH & Co. KG,Spezifische Daten,Anzahl Grundstücke (Anz.),,,,58.0,58.0,58.0,58.0,58.0
BBB Infrastruktur GmbH & Co. KG,Spezifische Daten,Größe Flächenbestand (Tsd. m2),,,,1101.0,1101.0,1101.0,1126.0,1126.0
BBB Infrastruktur-Verwaltungs GmbH,Bilanzdaten,Bilanzsumme,,,,0.04,0.04,0.03,0.03,0.03
BBB Infrastruktur-Verwaltungs GmbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,,,,,,,
BBB Infrastruktur-Verwaltungs GmbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,Sachanlagen,,,,,,
BBB Infrastruktur-Verwaltungs GmbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,Finanzanlagen,,,,,,
BBB Infrastruktur-Verwaltungs GmbH,Bilanzdaten,Bilanzsumme,Umlaufvermögen,,,0.04,0.04,0.03,0.03,0.03
BBB Infrastruktur-Verwaltungs GmbH,Bilanzdaten,Bilanzsumme,Eigenkapital,,,0.03,0.03,0.03,0.03,0.02
BBB Infrastruktur-Verwaltungs GmbH,Bilanzdaten,Bilanzsumme,Eigenkapital,Rücklagen,,,,,,
BBB Infrastruktur-Verwaltungs GmbH,Bilanzdaten,Bilanzsumme,Sonderposten für Zuschüsse,,,,,,,
BBB Infrastruktur-Verwaltungs GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,,,0.01,0.01,0.01,0.01,0.01
BBB Infrastruktur-Verwaltungs GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Rückstellungen,,0.01,0.0,0.0,0.0,0.0
BBB Infrastruktur-Verwaltungs GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,,0.01,0.0,0.0,0.0,0.01
BBB Infrastruktur-Verwaltungs GmbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,Kreditverbindlichkeiten,,,,,
BBB Infrastruktur-Verwaltungs GmbH,GuV-Daten,Gesamterträge,,,,0.03,0.01,0.01,0.01,0.01
BBB Infrastruktur-Verwaltungs GmbH,GuV-Daten,Gesamterträge,Umsatzerlöse,,,0.03,0.01,0.01,0.01,0.01
BBB Infrastruktur-Verwaltungs GmbH,GuV-Daten,Gesamterträge,Übrige Erträge,,,0.0,0.0,0.0,0.0,0.0
BBB Infrastruktur-Verwaltungs GmbH,GuV-Daten,Gesamtaufwendungen,,,,0.03,0.01,0.01,0.01,0.01
BBB Infrastruktur-Verwaltungs GmbH,GuV-Daten,Gesamtaufwendungen,Personalaufwand,,,,,,,
BBB Infrastruktur-Verwaltungs GmbH,GuV-Daten,Gesamtaufwendungen,Abschreibungen,,,,,,,
BBB Infrastruktur-Verwaltungs GmbH,GuV-Daten,Gesamtaufwendungen,Zinsaufwand,,,,,,,
BBB Infrastruktur-Verwaltungs GmbH,GuV-Daten,Gesamtaufwendungen,Übrige Aufwendungen,,,0.03,0.01,0.01,0.01,0.01
BBB Infrastruktur-Verwaltungs GmbH,GuV-Daten,EBITDA,,,,0.0,0.0,0.0,0.0,0.0
BBB Infrastruktur-Verwaltungs GmbH,GuV-Daten,EBT,,,,0.0,0.0,0.0,0.0,0.0
BBB Infrastruktur-Verwaltungs GmbH,GuV-Daten,Jahresergebnis,,,,0.0,0.0,0.0,0.0,0.0
BBB Infrastruktur-Verwaltungs GmbH,GuV-Daten,Gewinnabführung,,,,,,,,
BBB Infrastruktur-Verwaltungs GmbH,Beschäftigte,Beschäftigte,,,,2.0,2.0,2.0,2.0,2.0
BBB Infrastruktur-Verwaltungs GmbH,Allgemeine Daten,Zuführungen,,,,,,,,
BBB Infrastruktur-Verwaltungs GmbH,Allgemeine Daten,Investitionen,,,,,,,,
BBB Infrastruktur-Verwaltungs GmbH,Allgemeine Daten,Investitionsquote (%),,,,,,,,
BBB Infrastruktur-Verwaltungs GmbH,Allgemeine Daten,Umsatz pro Vollzeitkraft (T €),,,,14.73,4.59,4.88,3.96,4.86
BBB Infrastruktur-Verwaltungs GmbH,Allgemeine Daten,Eigenkapitalquote (%),,,,70.6,79.4,80.9,82.6,70.4
BBB Infrastruktur-Verwaltungs GmbH,Allgemeine Daten,Eigenkapitalrentabilität (%),,,,5.0,14.0,4.7,5.0,15.7
BBB Infrastruktur-Verwaltungs GmbH,Allgemeine Daten,Umsatzrentabilität (%),,,,5.3,46.1,12.8,15.8,38.6
BBB Infrastruktur-Verwaltungs GmbH,Allgemeine Daten,Zinslastquote (%),,,,,,,,
BBB Infrastruktur-Verwaltungs GmbH,Allgemeine Daten,Personalkostenquote (%),,,,,,,,
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Bilanzdaten,Bilanzsumme,,,,96.67,96.41,94.1,98.16,101.0
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,,,72.75,74.61,75.38,77.49,81.08
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,Sachanlagen,,59.8,61.64,62.26,64.34,68.07
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Bilanzdaten,Bilanzsumme,Anlagevermögen,Finanzanlagen,,12.68,12.68,12.81,12.81,12.68
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Bilanzdaten,Bilanzsumme,Umlaufvermögen,,,23.84,21.76,18.68,20.6,19.87
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Bilanzdaten,Bilanzsumme,Eigenkapital,,,57.18,54.36,52.19,50.74,50.78
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Bilanzdaten,Bilanzsumme,Eigenkapital,Rücklagen,,0.79,0.79,0.79,0.79,0.79
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Bilanzdaten,Bilanzsumme,Sonderposten für Zuschüsse,,,7.28,8.6,9.95,11.4,13.03
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Bilanzdaten,Bilanzsumme,Fremdkapital,,,14.21,14.82,12.54,15.93,16.39
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Rückstellungen,,10.92,10.77,8.19,9.54,9.07
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,,3.29,4.05,4.36,6.39,7.33
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Bilanzdaten,Bilanzsumme,Fremdkapital,Verbindlichkeiten,Kreditverbindlichkeiten,,,0.87,1.72,2.54
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,GuV-Daten,Gesamterträge,,,,27.51,26.47,24.35,25.14,25.44
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,GuV-Daten,Gesamterträge,Umsatzerlöse,,,22.94,22.6,20.52,21.25,21.45
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,GuV-Daten,Gesamterträge,Übrige Erträge,,,4.57,3.87,3.83,3.88,3.99
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,GuV-Daten,Gesamtaufwendungen,,,,24.69,24.3,22.9,23.71,22.79
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,GuV-Daten,Gesamtaufwendungen,Personalaufwand,,,8.42,8.2,7.89,7.7,7.08
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,GuV-Daten,Gesamtaufwendungen,Abschreibungen,,,4.56,4.57,4.75,5.34,5.29
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,GuV-Daten,Gesamtaufwendungen,Zinsaufwand,,,0.1,0.08,0.14,0.21,0.24
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,GuV-Daten,Gesamtaufwendungen,Übrige Aufwendungen,,,11.62,11.44,10.13,10.46,10.18
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,GuV-Daten,EBITDA,,,,7.63,7.39,6.86,6.69,8.82
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,GuV-Daten,EBT,,,,4.32,3.42,2.36,2.13,4.66
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,GuV-Daten,Jahresergebnis,,,,2.82,2.17,1.45,1.42,2.65
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,GuV-Daten,Gewinnabführung,,,,,,,,1.47
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Beschäftigte,Beschäftigte,,,,127.0,128.0,128.0,121.0,118.0
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Beschäftigte,Beschäftigte,davon Auszubildende,,,9.0,9.0,9.0,7.0,3.0
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Allgemeine Daten,Zuführungen,,,,,,,,
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Allgemeine Daten,Zuführungen,Zuführungen Land Berlin,,,,,,,
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Allgemeine Daten,Investitionen,,,,2.9,3.94,2.64,1.67,5.19
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Allgemeine Daten,Investitionsquote (%),,,,4.8,6.4,4.2,2.6,7.6
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Allgemeine Daten,Umsatz pro Vollzeitkraft (T €),,,,180.66,176.57,160.35,175.65,181.79
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Allgemeine Daten,Eigenkapitalquote (%),,,,59.1,56.4,55.5,51.7,50.3
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Allgemeine Daten,Eigenkapitalrentabilität (%),,,,7.5,6.3,4.5,4.2,9.2
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Allgemeine Daten,Umsatzrentabilität (%),,,,18.8,15.1,11.5,10.0,21.7
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Allgemeine Daten,Zinslastquote (%),,,,0.4,0.4,0.7,1.0,1.1
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Allgemeine Daten,Personalkostenquote (%),,,,36.7,36.3,38.4,36.2,33.0
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Spezifische Daten,Freilagerflächen vermietet (Tsd. m2),,,,252.0,239.0,238.0,238.0,237.0
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Spezifische Daten,Freilagerflächen eigenbewirtschaftet (Tsd. m2),,,,25.0,22.0,22.0,22.0,22.0
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Spezifische Daten,Freilagerflächen Reserve (Tsd. m2),,,,20.0,34.0,35.0,35.0,33.0
BEHALA - Berliner Hafen- und Lagerhausgesellschaft mbH,Spezifische Daten,Gedeckter Lagerraum (Tsd. m2),,,,121.0,117.0,117.0,117.0,120.0
