"",,,2023,,2022
"",,EUR,EUR,,EUR
"",,,,,
1.,Umsatzerlöse,,"42.144.741,21",,"66.885.502,34"
2.,Sonstige betriebliche Erträge,,"1.946.030,56",,"892.943,83"
3.,Materialaufwand,,,,
"",a) Aufwendungen für bezogene Leistungen,"–7.892.055,26",,,"–12.043.558,78"
"",,,"–7.892.055,26",,"–12.043.558,78"
4.,Personalaufwand,,,,
"",a) Löhne und Gehälter,"–24.973.906,05",,,"–27.989.279,85"
"",b) Soziale Abgaben und Aufwendungen,,,,
"",für Altersversorgung und für Unterstützung,"–5.877.711,42",,,"–7.298.579,19"
"",– davon für Altersversorgung:,,,,
"","EUR 253.039,00",,,,
"","(Vorjahr: EUR 837.474,56)","000000000,00",,,"000000000,00"
"",,,"–30.851.617,47",,"–35.287.859,04"
5.,Abschreibungen auf immaterielle,,,,
"",Vermögensgegenstände des Anlagevermögens,,,,
"",und Sachanlagen,,"–409.016,49",,"–452.634,95"
6.,Sonstige betriebliche Aufwendungen,,"–5.991.277,62",,"–19.389.637,50"
7.,Sonstige Zinsen und ähnliche Erträge,,"454.259,04",,"548.130,39"
"",– davon aus der Abzinsung:,,,,
"","EUR 276.249,37",,,,
"","(Vorjahr: EUR 516.163,27)",,,,
8.,Zinsen und ähnliche Aufwendungen,,"–211.028,87",,"–199.138,90"
"",– davon aus der Aufzinsung:,,,,
"","EUR 211.028,87",,,,
"","(Vorjahr: EUR 199.138,90)",,,,
9.,Ergebnis nach Steuern,,"–809.964,90",,"953.747,39"
10.,Jahresüberschuss/-fehlbetrag,,"–809.964,90",,"953.747,39"
