"",01.01. bis,01.01. bis
"",31.12.2023,31.12.2022
"",T€,T€
um1.s Umsatzerlöse,"2.000,0","2.000,0"
2. Erträge aus Zuschüssen,-,-
sb3e. Sonstige betriebliche Erträge,-,-
4. Personalaufwand,"- 930,9","- 947,7"
lug a) Löhne und Gehälter,"- 806,2","- 828,3"
b) soziale Abgaben und Aufwendungen,,
soz für Altersversorgung,"- 124,7","- 119,4"
"davon für Altersversorung EUR 0,00 (EUR 0,00)",,
af5a. Abschreibungen,-,-
sb6a. Sonstige betriebliche Aufwendungen,"- 1.063,8","- 1.052,1"
7. Finanzergebnis,-,-
8. Steuern,"- 1,6","- 0,1"
9. Ergebnis nach Steuern,"3,7","0,1"
10. Jahresüberschuss,"3,7","0,1"
