"",Passiva,31.12.2023,,31.12.2022
"",,T€,,T€
"",Eigenkapital,,,
ek,Gezeichnetes Kapital,-,,-
kr,Kapitalrücklage,-,,-
vv,Gewinnrücklage/Verlustvortrag,"0,1",,-
"",Jahresüberschuss,"3,7",,"0,1"
"",,"3,8",,"0,1"
"",Rückstellungen,,,
"",Sonstige Rückstellungen,"300,5",,"258,4"
"",Verbindlichkeiten,,,
anz,Verbindlichkeiten gegenüber Kreditinstituten,-,,-
vll,Verbindlichkeiten aus Lieferungen und Leistungen,"105,3",,"89,0"
"",Verbindlichkeiten gegenüber Gesellschaftern,-,,-
"",Sonstige Verbindlichkeiten,-,,-
"",,"105,3",,"89,0"
"",,"409,6",,"347,6"
